agent_a,agent_b,tier_a,tier_b,seed,seat_of_a,bank_a,bank_b,margin_a,winner
rotation_rosa,closer_cleo,2,9,7002,0,13551,169602,-156051,closer_cleo
rotation_rosa,closer_cleo,2,9,7002,1,13551,175800,-162249,closer_cleo
homestead_hana,melon_mateo,3,4,7000,0,16387,16894,-507,melon_mateo
homestead_hana,melon_mateo,3,4,7000,1,14897,16642,-1745,melon_mateo
homestead_hana,melon_mateo,3,4,7001,0,15366,24932,-9566,melon_mateo
homestead_hana,melon_mateo,3,4,7001,1,17189,45920,-28731,melon_mateo
homestead_hana,melon_mateo,3,4,7002,0,16060,45653,-29593,melon_mateo
homestead_hana,melon_mateo,3,4,7002,1,16048,45655,-29607,melon_mateo
homestead_hana,rancher_rita,3,5,7000,0,15445,59109,-43664,rancher_rita
homestead_hana,rancher_rita,3,5,7000,1,15445,59238,-43793,rancher_rita
homestead_hana,rancher_rita,3,5,7001,0,14172,52772,-38600,rancher_rita
homestead_hana,rancher_rita,3,5,7001,1,13281,52784,-39503,rancher_rita
homestead_hana,rancher_rita,3,5,7002,0,16320,49531,-33211,rancher_rita
homestead_hana,rancher_rita,3,5,7002,1,15983,49525,-33542,rancher_rita
homestead_hana,broker_bea,3,6,7000,0,15704,192612,-176908,broker_bea
homestead_hana,broker_bea,3,6,7000,1,15729,189556,-173827,broker_bea
homestead_hana,broker_bea,3,6,7001,0,16633,190000,-173367,broker_bea
homestead_hana,broker_bea,3,6,7001,1,15569,192300,-176731,broker_bea
homestead_hana,broker_bea,3,6,7002,0,17560,194436,-176876,broker_bea
homestead_hana,broker_bea,3,6,7002,1,17950,191299,-173349,broker_bea
homestead_hana,slotter_silas,3,8,7000,0,15709,191529,-175820,slotter_silas
homestead_hana,slotter_silas,3,8,7000,1,15734,188634,-172900,slotter_silas
homestead_hana,slotter_silas,3,8,7001,0,16637,189154,-172517,slotter_silas
homestead_hana,slotter_silas,3,8,7001,1,15575,191475,-175900,slotter_silas
homestead_hana,slotter_silas,3,8,7002,0,17568,193622,-176054,slotter_silas
homestead_hana,slotter_silas,3,8,7002,1,17954,190241,-172287,slotter_silas
homestead_hana,ledger_lena,3,7,7000,0,15730,192113,-176383,ledger_lena
homestead_hana,ledger_lena,3,7,7000,1,15755,190047,-174292,ledger_lena
homestead_hana,ledger_lena,3,7,7001,0,16654,190494,-173840,ledger_lena
homestead_hana,ledger_lena,3,7,7001,1,15591,192771,-177180,ledger_lena
homestead_hana,ledger_lena,3,7,7002,0,17584,194913,-177329,ledger_lena
homestead_hana,ledger_lena,3,7,7002,1,17980,190789,-172809,ledger_lena
homestead_hana,closer_cleo,3,9,7000,0,17158,181211,-164053,closer_cleo
homestead_hana,closer_cleo,3,9,7000,1,15429,198749,-183320,closer_cleo
homestead_hana,closer_cleo,3,9,7001,0,16365,188112,-171747,closer_cleo
homestead_hana,closer_cleo,3,9,7001,1,15590,184892,-169302,closer_cleo
homestead_hana,closer_cleo,3,9,7002,0,17823,188864,-171041,closer_cleo
homestead_hana,closer_cleo,3,9,7002,1,18265,183436,-165171,closer_cleo
